Name,Overall,Position
L. Messi,94.0,CF
Cristiano Ronaldo,94.0,ST
Neymar Jr,92.0,FW
De Gea,91.0,GK
K. De Bruyne,91.0,CM
E. Hazard,91.0,CF
L. Modrić,91.0,CM
L. Suárez,91.0,ST
Sergio Ramos,91.0,CB
J. Oblak,90.0,GK
R. Lewandowski,90.0,ST
T. Kroos,90.0,CM
D. Godín,90.0,CB
David Silva,90.0,CM
N. Kanté,89.0,CDM
P. Dybala,89.0,CF
H. Kane,89.0,ST
A. Griezmann,89.0,CAM
M. ter Stegen,89.0,GK
T. Courtois,89.0,GK
Sergio Busquets,89.0,CDM
E. Cavani,89.0,ST
M. Neuer,89.0,GK
S. Agüero,89.0,ST
G. Chiellini,89.0,CB
K. Mbappé,88.0,WM
M. Salah,88.0,WM
Casemiro,88.0,CDM
J. Rodríguez,88.0,WAM
L. Insigne,88.0,FW
Isco,88.0,FW
C. Eriksen,88.0,CAM
Coutinho,88.0,FW
P. Aubameyang,88.0,WM
M. Hummels,88.0,CB
Marcelo,88.0,FB
G. Bale,88.0,ST
H. Lloris,88.0,GK
G. Higuaín,88.0,ST
Thiago Silva,88.0,CB
S. Handanovič,88.0,GK
G. Buffon,88.0,GK
S. Umtiti,87.0,CB
M. Icardi,87.0,ST
K. Koulibaly,87.0,CB
P. Pogba,87.0,CDM
K. Navas,87.0,GK
R. Lukaku,87.0,ST
C. Immobile,87.0,ST
Jordi Alba,87.0,FB
D. Mertens,87.0,CF
J. Vertonghen,87.0,CB
M. Hamšík,87.0,CM
I. Rakitić,87.0,CM
Piqué,87.0,CB
L. Sané,86.0,FW
Bernardo Silva,86.0,FW
Ederson,86.0,GK
S. Mané,86.0,WM
V. van Dijk,86.0,CB
R. Sterling,86.0,FW
Roberto Firmino,86.0,CAM
R. Varane,86.0,CB
M. Verratti,86.0,CM
Alex Sandro,86.0,FB
Douglas Costa,86.0,WM
T. Müller,86.0,CAM
Thiago,86.0,CM
M. Reus,86.0,WM
Azpilicueta,86.0,FB
L. Bonucci,86.0,CB
T. Alderweireld,86.0,CB
M. Pjanić,86.0,CDM
M. Benatia,86.0,CB
M. Özil,86.0,CAM
Fernandinho,86.0,CDM
Iniesta,86.0,CF
M. Škriniar,85.0,CB
S. Milinković-Savić,85.0,CM
Marco Asensio,85.0,FW
N. Fekir,85.0,CAM
Alisson,85.0,GK
J. Kimmich,85.0,CM
Saúl,85.0,CM
R. Mahrez,85.0,FW
D. Alaba,85.0,FB
Koke,85.0,WM
A. Lacazette,85.0,ST
K. Manolas,85.0,CB
N. Otamendi,85.0,CB
Parejo,85.0,CM
Paulinho,85.0,CDM
W. Szczęsny,85.0,GK
A. Sánchez,85.0,FW
Y. Brahimi,85.0,WM
J. Boateng,85.0,CB
A. Vidal,85.0,CAM
I. Perišić,85.0,WM
E. Džeko,85.0,ST
S. Khedira,85.0,CM
Diego Costa,85.0,ST
R. Nainggolan,85.0,CAM
Naldo,85.0,CB
B. Matuidi,85.0,WM
Miranda,85.0,CB
K. Benzema,85.0,ST
Filipe Luís,85.0,FB
V. Kompany,85.0,CB
Pepe,85.0,CB
Z. Ibrahimović,85.0,ST
D. Sánchez,84.0,CB
J. Giménez,84.0,CB
Alex Telles,84.0,FB
A. Laporte,84.0,CB
Bruno Fernandes,84.0,CM
N. Süle,84.0,CB
A. Martial,84.0,FW
D. Alli,84.0,CM
Fabinho,84.0,CDM
Marquinhos,84.0,CDM
William Carvalho,84.0,CDM
Jorginho,84.0,CM
F. Thauvin,84.0,WM
Carvajal,84.0,FB
M. Depay,84.0,ST
H. Son,84.0,WM
A. Lopes,84.0,GK
S. de Vrij,84.0,CB
M. Perin,84.0,GK
J. Cuadrado,84.0,WAM
Iago Aspas,84.0,ST
B. Leno,84.0,GK
N. Matić,84.0,CDM
L. Hrádecký,84.0,GK
Illarramendi,84.0,CDM
K. Walker,84.0,FB
I. Gündoğan,84.0,CM
José Callejón,84.0,WM
A. Di María,84.0,WM
M. Mandžukić,84.0,ST
Willian,84.0,FW
Sergio Asenjo,84.0,GK
E. Banega,84.0,CDM
A. Witsel,84.0,CM
D. Payet,84.0,CAM
Jonas,84.0,ST
Sokratis,84.0,CB
S. Ruffier,84.0,GK
Falcao,84.0,ST
K. Schmeichel,84.0,GK
Raúl Albiol,84.0,CB
A. Gómez,84.0,ST
A. Barzagli,84.0,CB
Quaresma,84.0,WM
A. Robben,84.0,WM
O. Dembélé,83.0,FW
Gabriel Jesus,83.0,ST
Ronaldo Cabrais,83.0,FW
Josué Chiamulera,83.0,CB
Louri Beretta,83.0,ST
P. Kimpembe,83.0,CB
N. Keïta,83.0,CM
C. Tolisso,83.0,CM
T. Lemar,83.0,WM
K. Coman,83.0,WM
J. Tah,83.0,CB
Anderson Talisca,83.0,CAM
T. Werner,83.0,FW
A. Rabiot,83.0,CM
L. Goretzka,83.0,CM
Q. Promes,83.0,WM
H. Ziyech,83.0,WAM
Lucas Vázquez,83.0,FW
Y. Carrasco,83.0,WM
Gerard Moreno,83.0,ST
Felipe,83.0,CB
M. Kovačić,83.0,CM
Kepa,83.0,GK
Manu Trigueros,83.0,CM
S. Gnabry,83.0,ST
J. Pickford,83.0,GK
S. Savić,83.0,CB
J. Stones,83.0,CB
Suso,83.0,FW
J. Draxler,83.0,CM
Felipe Anderson,83.0,WM
Lucas Moura,83.0,WM
Danilo Pereira,83.0,CDM
Nacho Fernández,83.0,CB
T. Horn,83.0,GK
Allan,83.0,CM
F. Acerbi,83.0,CB
Sergi Roberto,83.0,FB
Rodrigo,83.0,ST
Pizzi,83.0,CM
K. Kampl,83.0,CM
Neto,83.0,GK
O. Baumann,83.0,GK
I. Gueye,83.0,CDM
